Month of Date,Target Country,Point,flows_bcm
November 2023,Germany,Baltic Energy Gate,0.038077112
December 2023,Germany,Baltic Energy Gate,0.077862992
January 2024,Germany,Baltic Energy Gate,0.056020275
February 2024,Germany,Baltic Energy Gate,0.068871097
March 2024,Germany,Baltic Energy Gate,0.063622909
April 2024,Germany,Baltic Energy Gate,0.003428204
May 2024,Germany,Baltic Energy Gate,0
June 2024,Germany,Baltic Energy Gate,0.045834073
July 2024,Germany,Baltic Energy Gate,0.00014943
August 2024,Germany,Baltic Energy Gate,0.023444575
September 2024,Germany,Baltic Energy Gate,0.037871999
October 2024,Germany,Baltic Energy Gate,0.071503373
November 2024,Germany,Baltic Energy Gate,0.146615085
December 2024,Germany,Baltic Energy Gate,0.095337625
January 2025,Germany,Baltic Energy Gate,0.003017019
February 2025,Germany,Baltic Energy Gate,0.026402465
March 2025,Germany,Baltic Energy Gate,0.137508459
April 2025,Germany,Baltic Energy Gate,0.342115061
May 2025,Germany,Baltic Energy Gate,0.357060449
June 2025,Germany,Baltic Energy Gate,0.272672154
July 2025,Germany,Baltic Energy Gate,0.043068727
August 2025,Germany,Baltic Energy Gate,0.04479719
September 2025,Germany,Baltic Energy Gate,0.112928169
October 2025,Germany,Baltic Energy Gate,0.389982483
November 2025,Germany,Baltic Energy Gate,0.401529172
December 2025,Germany,Baltic Energy Gate,0.403993256
January 2026,Germany,Baltic Energy Gate,0.111667894
January 2021,Greece,Revithoussa,0.239377117
February 2021,Greece,Revithoussa,0.122510185
March 2021,Greece,Revithoussa,0.192401805
April 2021,Greece,Revithoussa,0.157523073
May 2021,Greece,Revithoussa,0.127848732
June 2021,Greece,Revithoussa,0.280496421
July 2021,Greece,Revithoussa,0.215400632
August 2021,Greece,Revithoussa,0.206635737
September 2021,Greece,Revithoussa,0.242073145
October 2021,Greece,Revithoussa,0.110301401
November 2021,Greece,Revithoussa,0.182937374
December 2021,Greece,Revithoussa,0.276980045
January 2022,Greece,Revithoussa,0.359014365
February 2022,Greece,Revithoussa,0.217048858
March 2022,Greece,Revithoussa,0.302485556
April 2022,Greece,Revithoussa,0.089851545
May 2022,Greece,Revithoussa,0.315614752
June 2022,Greece,Revithoussa,0.365991376
July 2022,Greece,Revithoussa,0.352837255
August 2022,Greece,Revithoussa,0.356585009
September 2022,Greece,Revithoussa,0.294923546
October 2022,Greece,Revithoussa,0.244469704
November 2022,Greece,Revithoussa,0.352718981
December 2022,Greece,Revithoussa,0.374823843
January 2023,Greece,Revithoussa,0.373020575
