Month of Date,Point,flows_bcm
April 2025,LNG Livorno,0.363862415
March 2025,LNG Livorno,0.398497369
February 2025,LNG Livorno,0.388730283
January 2025,LNG Livorno,0.306193428
December 2024,LNG Livorno,0.365468234
November 2024,LNG Livorno,0.086527214
October 2024,LNG Livorno,0
September 2024,LNG Livorno,0
August 2024,LNG Livorno,0
July 2024,LNG Livorno,0
June 2024,LNG Livorno,0
May 2024,LNG Livorno,0
April 2024,LNG Livorno,0
March 2024,LNG Livorno,0
February 2024,LNG Livorno,0.259262383
January 2024,LNG Livorno,0.405402126
December 2023,LNG Livorno,0.339184131
November 2023,LNG Livorno,0.184774183
October 2023,LNG Livorno,0.196858993
September 2023,LNG Livorno,0.357005513
August 2023,LNG Livorno,0.350003077
July 2023,LNG Livorno,0.378430269
June 2023,LNG Livorno,0.359299313
May 2023,LNG Livorno,0.191768479
April 2023,LNG Livorno,0.408643757
March 2023,LNG Livorno,0.361068185
February 2023,LNG Livorno,0.356614278
January 2023,LNG Livorno,0.326676075
December 2022,LNG Livorno,0.358107115
November 2022,LNG Livorno,0.238284357
October 2022,LNG Livorno,0.190940375
September 2022,LNG Livorno,0.403350798
August 2022,LNG Livorno,0.412060694
July 2022,LNG Livorno,0.420747722
June 2022,LNG Livorno,0.344711484
May 2022,LNG Livorno,0.040912747
April 2022,LNG Livorno,0.358613691
March 2022,LNG Livorno,0.361892985
February 2022,LNG Livorno,0.305134172
January 2022,LNG Livorno,0.307277053
December 2021,LNG Livorno,0
November 2021,LNG Livorno,0
October 2021,LNG Livorno,0
September 2021,LNG Livorno,0.087281047
August 2021,LNG Livorno,0.086843048
July 2021,LNG Livorno,0.091471046
June 2021,LNG Livorno,0.303181143
May 2021,LNG Livorno,0.234272286
April 2021,LNG Livorno,0.334710762
March 2021,LNG Livorno,0.25601343
February 2021,LNG Livorno,0.031689809
January 2021,LNG Livorno,0
January 2026,LNG Cavarzere,0.260150837
December 2025,LNG Cavarzere,0.832472085
November 2025,LNG Cavarzere,0.754886438
October 2025,LNG Cavarzere,0.810824904
September 2025,LNG Cavarzere,0.640284879
August 2025,LNG Cavarzere,0.009223639
July 2025,LNG Cavarzere,0.78305536
June 2025,LNG Cavarzere,0.811481913
May 2025,LNG Cavarzere,0.865362857
April 2025,LNG Cavarzere,0.748028389
March 2025,LNG Cavarzere,0.813769945
February 2025,LNG Cavarzere,0.737114159
January 2025,LNG Cavarzere,0.739405962
December 2024,LNG Cavarzere,0.743498069
November 2024,LNG Cavarzere,0.758973865
October 2024,LNG Cavarzere,0.761626324
September 2024,LNG Cavarzere,0.755595722
August 2024,LNG Cavarzere,0.764279568
July 2024,LNG Cavarzere,0.736207594
June 2024,LNG Cavarzere,0.730125669
May 2024,LNG Cavarzere,0.832979312
April 2024,LNG Cavarzere,0.791569417
March 2024,LNG Cavarzere,0.770344097
February 2024,LNG Cavarzere,0.671431191
January 2024,LNG Cavarzere,0.752131874
December 2023,LNG Cavarzere,0.683426934
November 2023,LNG Cavarzere,0.815478519
October 2023,LNG Cavarzere,0.7813443
September 2023,LNG Cavarzere,0.757531188
August 2023,LNG Cavarzere,0.646265552
July 2023,LNG Cavarzere,0.839864605
June 2023,LNG Cavarzere,0.641450272
May 2023,LNG Cavarzere,0.759305862
April 2023,LNG Cavarzere,0.730434965
March 2023,LNG Cavarzere,0.838376841
February 2023,LNG Cavarzere,0.697571846
January 2023,LNG Cavarzere,0.644829798
December 2022,LNG Cavarzere,0.844798187
November 2022,LNG Cavarzere,0.800430492
October 2022,LNG Cavarzere,0.813163903
September 2022,LNG Cavarzere,0.76275295
August 2022,LNG Cavarzere,0.056125514
July 2022,LNG Cavarzere,0.75794655
June 2022,LNG Cavarzere,0.79266532
May 2022,LNG Cavarzere,0.832430045
April 2022,LNG Cavarzere,0.750949799
March 2022,LNG Cavarzere,0.69689057
February 2022,LNG Cavarzere,0.613348061
January 2022,LNG Cavarzere,0.614086263
December 2021,LNG Cavarzere,0.594743619
November 2021,LNG Cavarzere,0.638492477
October 2021,LNG Cavarzere,0.559356284
September 2021,LNG Cavarzere,0.564659904
August 2021,LNG Cavarzere,0.522841713
July 2021,LNG Cavarzere,0.664984188
