Day of Date,Header_Exporter,Gas Origin,Header_Importer,Target Country,Interconnection Point,flows_bcm
"August 13, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.039627429
"August 14, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.03962981
"August 15, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.040019048
"August 16, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.038410857
"August 17, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.038864857
"August 18, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.04071019
"August 19, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.039606095
"August 20, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.043672571
"August 21, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.044484
"August 22, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.045516571
"August 23, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.044480381
"August 24, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.041394095
"August 25, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.039311905
"August 26, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.040493524
"August 27, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.041612381
"August 28, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.043639429
"August 29, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.044055524
"August 30, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.044187238
"August 31, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.053838476
"September 1, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.050450095
"September 2, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.049796381
"September 3, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.049172476
"September 4, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.05088019
"September 5, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.050151143
"September 6, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.051387238
"September 7, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.032602286
"September 8, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.031595429
"September 9, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.032253429
"September 10, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.031206476
"September 11, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.033845238
"September 12, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.035291524
"September 13, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.032976095
"September 14, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.032378952
"September 15, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.031557905
"September 16, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.030713238
"September 17, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.035038286
"September 18, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.036322667
"September 19, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.037619143
"September 20, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.041126571
"September 21, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.039184286
"September 22, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.038741333
"September 23, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.038320381
"September 24, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.037670095
"September 25, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.03780019
"September 26, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.038496286
"September 27, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.036250762
"September 28, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.037228667
"September 29, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.037217333
"September 30, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.037469429
"October 1, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.062429524
"October 2, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.065249048
"October 3, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.065292952
"October 4, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.064484476
"October 5, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.065269524
"October 6, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.065776667
"October 7, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.066262857
"October 8, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.06615781
"October 9, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.066221905
"October 10, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.066391143
"October 11, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.065452857
"October 12, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.066382857
"October 13, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.066440857
"October 14, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.066625619
"October 15, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.066472571
"October 16, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.066403048
"October 17, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.065044952
"October 18, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.065165048
"October 19, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.065337143
"October 20, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.06485981
"October 21, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.065244667
"October 22, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.06461019
"October 23, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.064712571
"October 24, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.066108095
"October 25, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.065875905
"October 26, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.063588
"October 27, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.062649714
"October 28, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.062510857
"October 29, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.063726857
"October 30, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.064768
"October 31, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.065878571
"November 1, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.065076286
"November 2, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.065199143
"November 3, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.065156286
"November 4, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.065253524
"November 5, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.06343781
"November 6, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.063745619
"November 7, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.06591181
"November 8, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.066783238
"November 9, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.065634667
"November 10, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.066283048
"November 11, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.06591381
"November 12, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.064590476
"November 13, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.065393143
"November 14, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.066662952
"November 15, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.065381048
"November 16, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.064699619
"November 17, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.065387333
"November 18, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.064605048
"November 19, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.065000095
"November 20, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.064124476
"November 21, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.064069143
"November 22, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.064802381
"November 23, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.064439143
"November 24, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.064096095
"November 25, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.063776762
"November 26, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.063503429
"November 27, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.064390857
"November 28, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.064391333
"November 29, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.059943429
"November 30, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.057943524
"December 1, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.061594762
