Month of Date,Sector,adjusted_unit,Country,adjusted_unit_value
October 2019,Other,Billion Cubic Meter,*,6.087930128
September 2019,Other,Billion Cubic Meter,*,6.133469201
August 2019,Other,Billion Cubic Meter,*,6.328765427
July 2019,Other,Billion Cubic Meter,*,5.874383972
June 2019,Other,Billion Cubic Meter,*,5.984778688
May 2019,Other,Billion Cubic Meter,*,6.164204069
April 2019,Other,Billion Cubic Meter,*,6.169871259
March 2019,Other,Billion Cubic Meter,*,6.208606836
February 2019,Other,Billion Cubic Meter,*,5.719578781
January 2019,Other,Billion Cubic Meter,*,6.649817596
