Carbon Intensity,Country,Crude list,Year of YearReported (Custom SQL Query1),ProductionDataValue
High,Mexico,Maya,2010,1464.17
High,Malaysia,Tapis,2010,160
High,Libya,"Amna, El-Sharara, Es Sider",2010,860
High,Iraq,"Kirkuk, Basrah Light",2010,2300
High,Iran,Nowruz-Soroush,2010,150
High,Egypt,Suez Blend,2010,79
High,Ecuador,Oriente,2010,349.9
High,China,"Panyu, Nanhai Light, Changqing",2010,459.3
High,Chad,Doba,2010,123
High,Brazil,Marlim,2010,641
High,Australia,Pyrenees,2010,80
High,Angola,"Plutonio, Kissanje Blend",2010,329.2
High,Algeria,"Saharan Blend, Algerian Condensate",2010,1356.1
Very High,Venezuela,"Boscan, Hamaca, Santa Barbara, Merey-16",2010,881
Very High,Nigeria,"Brass River, Escravos, Qua Iboe",2010,726
Very High,Malaysia,Miri,2010,75
Very High,Libya,"Zueitina, Brega, Abu Attifel, Mellitah, Sarir, Sirtica",2010,673.5
Very High,Iran,"Iran Heavy, Iran Light",2010,2900
Very High,Indonesia,"Duri, Minas",2010,370
Very High,Gabon,Rabi Light,2010,72.13
Very High,Colombia,Castilla,2010,249.3
Very High,Canada,"Syncrude Sweet Premium, Cold Lake Blend",2010,736
Very High,Australia,Northwest Shelf Condensate,2010,122.3
Very Low,United Kingdom,"Clair, Schiehallion Blend",2011,44
Very Low,Saudi Arabia,"Arab Medium, Arab Light",2011,6467
Very Low,Norway,"Statfjord Blend, Heidrun, Gullfaks Blend, Ekofisk Blend",2011,600.09
Very Low,Kuwait,Kuwait,2011,2365.25
Very Low,Iran,South Pars Condensate,2011,300
Very Low,Egypt,Western Desert Blend,2011,180
Very Low,China,Shengli,2011,547
Very Low,Abu Dhabi,Upper Zakum,2011,500
Low,United States,"Mars Blend, Bakken",2011,622.13
Low,United Kingdom,Flotta Gold,2011,35
Low,Saudi Arabia,Arab Heavy,2011,800
Low,Nigeria,"Bonny Light, Bonga, Akpo Blend",2011,567.73
Low,Mexico,Isthmus,2011,798
Low,Kazakhstan,Tengiz,2011,190
Low,Egypt,Belayim Blend,2011,130
Low,Dubai,Dubai,2011,41.36
Low,China,"Peng Lai, Daqing",2011,885.71
Low,Brazil,Sapinhoa,2011,6
Medium,United States,"Thunder Horse, Alaska North Slope, Eagle Ford",2011,947.4
Medium,United Kingdom,Forties Blend,2011,446
Medium,Turkmenistan,Cheleken,2011,63.96
Medium,Syria,"Syrian Light, Souedieh",2011,240
Medium,Saudi Arabia,Arab Extra Light,2011,1500
Medium,Russia,"Siberian Light, Sokol, Urals",2011,9463.5
Medium,Qatar,"Dukhan, Qatar Marine",2011,415
Medium,Norway,"Asgard Blend, Oseberg, Troll",2011,629.42
Medium,Nigeria,Amenam Blend,2011,108.36
Medium,Neutral Zone,Wafra,2011,154
Medium,Libya,Bouri,2011,5
Medium,Iran,Foroozan Blend,2011,260
Medium,Ghana,Jubilee,2011,66.23
Medium,Equatorial Guinea,"New Zafiro, Alba Condensate",2011,165
Medium,Ecuador,Napo,2011,131.69
Medium,Denmark,Danish Crude Blend,2011,190.73
Medium,Congo (Brazzaville),Djeno,2011,175.2
Medium,Colombia,Cusiana,2011,54
Medium,Canada,Hibernia,2011,150
Medium,Brazil,"Jubarte, Frade, Tupi, Roncador",2011,520.48
Medium,Azerbaijan,Azeri Light,2011,96.39
Medium,Australia,Gippsland,2011,54.4
Medium,Argentina,Escalante,2011,156.98
Medium,Angola,"Hungo, Girassol, Cabinda, Dalia, Mondo, Nemba, Pazflor",2011,1154.51
Medium,Abu Dhabi,Murban,2011,1250
High,Vietnam,"Bach Ho, Su Tu Den",2011,185
High,United States,"West Texas Intermediate, West Texas Sour",2011,755.4
High,Nigeria,"Agbami, Forcados, Erha, Okono Blend",2011,649.05
High,Mexico,Maya,2011,1417
High,Malaysia,Tapis,2011,126.7
High,Libya,"Es Sider, El-Sharara, Amna",2011,189
High,Iraq,"Basrah Light, Kirkuk",2011,2658.84
High,Iran,Nowruz-Soroush,2011,170
High,Egypt,Suez Blend,2011,70
High,Ecuador,Oriente,2011,345.17
High,China,"Changqing, Nanhai Light, Panyu",2011,484.82
High,Chad,Doba,2011,115
High,Brazil,Marlim,2011,616
High,Australia,Pyrenees,2011,75.9
High,Angola,"Kissanje Blend, Plutonio",2011,260.69
High,Algeria,"Algerian Condensate, Saharan Blend",2011,1337
Very High,Venezuela,"Merey-16, Santa Barbara, Hamaca, Boscan",2011,855
Very High,Nigeria,"Qua Iboe, Escravos, Brass River",2011,724.17
Very High,Malaysia,Miri,2011,70
Very High,Libya,"Sirtica, Sarir, Mellitah, Abu Attifel, Brega, Zueitina",2011,266
Very High,Iran,"Iran Light, Iran Heavy",2011,2642
Very High,Indonesia,"Minas, Duri",2011,358
Very High,Gabon,Rabi Light,2011,66.86
Very High,Colombia,Castilla,2011,314.8
Very High,Canada,"Cold Lake Blend, Syncrude Sweet Premium",2011,778.7
Very High,Australia,Northwest Shelf Condensate,2011,104.7
Very Low,United Kingdom,"Schiehallion Blend, Clair",2012,62
Very Low,Saudi Arabia,"Arab Light, Arab Medium",2012,7205
Very Low,Norway,"Ekofisk Blend, Gullfaks Blend, Heidrun, Statfjord Blend",2012,522
Very Low,Kuwait,Kuwait,2012,2716.93
Very Low,Iran,South Pars Condensate,2012,300
Very Low,Egypt,Western Desert Blend,2012,195
Very Low,China,Shengli,2012,542.22
Very Low,Abu Dhabi,Upper Zakum,2012,525
Low,United States,"Bakken, Mars Blend",2012,837.64
Low,United Kingdom,Flotta Gold,2012,25
Low,Saudi Arabia,Arab Heavy,2012,800
Low,Nigeria,"Akpo Blend, Bonga, Bonny Light",2012,563.8
Low,Mexico,Isthmus,2012,834
Low,Kazakhstan,Tengiz,2012,170
Low,Egypt,Belayim Blend,2012,130
Low,Dubai,Dubai,2012,39.4
Low,China,"Daqing, Peng Lai",2012,864.51
Medium,United States,"Eagle Ford, Alaska North Slope, Thunder Horse",2012,1241.58
Medium,United Kingdom,Forties Blend,2012,351
Medium,Turkmenistan,Cheleken,2012,69.92
Medium,Syria,"Souedieh, Syrian Light",2012,110
Medium,Saudi Arabia,Arab Extra Light,2012,1250
Medium,Russia,"Urals, Sokol, Siberian Light",2012,9597.7
Medium,Qatar,"Qatar Marine, Dukhan",2012,416
Medium,Norway,"Troll, Oseberg, Asgard Blend",2012,610.5
Medium,Nigeria,Amenam Blend,2012,100.46
Medium,Neutral Zone,Wafra,2012,150.5
