Country,Sector,Year of Date,Month of Date,adjusted_unit,adjusted_unit_value
Bangladesh,Household,2022,January,Gigawatt-hour,2987.165154
Bangladesh,Power,2022,February,Gigawatt-hour,9924.53365
Bangladesh,Other,2022,February,Gigawatt-hour,3415.133064
Bangladesh,Industrial,2022,February,Gigawatt-hour,5378.897869
Bangladesh,Household,2022,February,Gigawatt-hour,2797.026892
Bangladesh,Power,2022,March,Gigawatt-hour,13451.528238
Bangladesh,Other,2022,March,Gigawatt-hour,2905.064392
Bangladesh,Industrial,2022,March,Gigawatt-hour,6595.400254
Bangladesh,Household,2022,March,Gigawatt-hour,3429.608132
Bangladesh,Power,2022,April,Gigawatt-hour,13298.285011
Bangladesh,Other,2022,April,Gigawatt-hour,2012.87746
Bangladesh,Industrial,2022,April,Gigawatt-hour,6173.855835
Bangladesh,Household,2022,April,Gigawatt-hour,3210.405034
Bangladesh,Power,2022,May,Gigawatt-hour,13932.665792
Bangladesh,Other,2022,May,Gigawatt-hour,1806.617324
Bangladesh,Industrial,2022,May,Gigawatt-hour,6346.485128
Bangladesh,Household,2022,May,Gigawatt-hour,3300.172266
Bangladesh,Power,2022,June,Gigawatt-hour,14174.715862
Bangladesh,Other,2022,June,Gigawatt-hour,2202.087128
Bangladesh,Industrial,2022,June,Gigawatt-hour,6603.549593
Bangladesh,Household,2022,June,Gigawatt-hour,3433.845788
Bangladesh,Power,2022,July,Gigawatt-hour,13449.835671
Bangladesh,Other,2022,July,Gigawatt-hour,999.540095
Bangladesh,Industrial,2022,July,Gigawatt-hour,5826.361196
Bangladesh,Household,2022,July,Gigawatt-hour,3029.707822
Bangladesh,Power,2022,August,Gigawatt-hour,14033.416876
Bangladesh,Other,2022,August,Gigawatt-hour,1694.462217
Bangladesh,Industrial,2022,August,Gigawatt-hour,6341.886731
Bangladesh,Household,2022,August,Gigawatt-hour,3297.7811
Bangladesh,Power,2022,September,Gigawatt-hour,13311.259174
Bangladesh,Other,2022,September,Gigawatt-hour,1323.933996
Bangladesh,Industrial,2022,September,Gigawatt-hour,5901.287569
Bangladesh,Household,2022,September,Gigawatt-hour,3068.669536
Bangladesh,Power,2022,October,Gigawatt-hour,12518.906917
Bangladesh,Other,2022,October,Gigawatt-hour,1771.457348
Bangladesh,Industrial,2022,October,Gigawatt-hour,5762.243655
Bangladesh,Household,2022,October,Gigawatt-hour,2996.366701
Bangladesh,Power,2022,November,Gigawatt-hour,11273.512043
Bangladesh,Other,2022,November,Gigawatt-hour,2158.805447
Bangladesh,Industrial,2022,November,Gigawatt-hour,5416.257052
Bangladesh,Household,2022,November,Gigawatt-hour,2816.453667
Bangladesh,Power,2022,December,Gigawatt-hour,11938.591984
Bangladesh,Other,2022,December,Gigawatt-hour,2604.134644
Bangladesh,Industrial,2022,December,Gigawatt-hour,5864.002672
